Task ID,O*NET-SOC Code,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency,Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Recruitment Source,Task Type,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID),expert_automation_capacity_rating_mean,expert_physical_action_requirement_mean,expert_involved_uncertainty_mean,expert_domain_expertise_requirement_mean,expert_interpersonal_communication_requirement_mean,expert_human_agency_scale_rating_mean,Occupation Employment_normalized,Occupation Mean Annual Wage_normalized,Importance_normalized,major_group_code
21520,13-2011.00,Accountants and Auditors,Report to management regarding the finances of establishment.,9aef09c6-ccfd-4dc0-a578-1ae21f7450a1,2025-01-21,Expert,4,1,3,3,4,False,False,False,False,False,True,3,4,3,5,5,True,True,True,True,True,True,True,,,Male,Black,30-60K,24,Master’s Degree,3-5 years,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Daily,Prolific,Core,3.0,3.0,4.03,85.77,93520.0,1448290.0,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],3.333333333333333,1.6666666666666667,2.6666666666666665,3.0,2.6666666666666665,2.333333333333333,0.5310638454056633,0.176765178681835,0.6481481481481483,13
11241,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Maintain customer records, using automated systems.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025-01-21,Expert,5,1,1,1,1,True,False,False,False,False,False,2,2,1,4,5,False,False,False,True,False,False,False,,,Male,White,86K-165K,60,Bachelor’s Degree,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Monthly,Never,Weekly,Never,Never,Never,Never,Daily,Prolific,Core,5.0,5.0,4.2,78.56,114520.0,293930.0,['Documenting/Recording Information'],['4.A.3.b.6'],4.5,1.0,2.0,2.0,1.0,2.0,0.1073755299040208,0.2416841844936317,0.7111111111111111,41
11252,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Complete expense reports, sales reports, or other paperwork.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025-01-21,Average,5,2,2,1,2,False,False,False,False,True,False,1,2,1,5,5,False,False,False,False,True,True,False,,,Male,White,86K-165K,60,Bachelor’s Degree,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Monthly,Never,Weekly,Never,Never,Never,Never,Daily,Prolific,Core,3.0,3.0,3.84,94.62,114520.0,293930.0,['Documenting/Recording Information'],['4.A.3.b.6'],5.0,1.5,1.5,2.5,2.5,1.5,0.1073755299040208,0.2416841844936317,0.5777777777777776,41
11245,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Collaborate with colleagues to exchange information, such as selling strategies or marketing information.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025-01-21,Expert,5,4,5,3,3,True,False,False,False,False,False,1,5,3,3,1,False,False,False,False,False,False,False,,FALSE,Male,White,86K-165K,60,Bachelor’s Degree,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Monthly,Never,Weekly,Never,Never,Never,Never,Daily,Prolific,Core,4.0,4.0,3.7,94.61,114520.0,293930.0,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],2.0,3.0,1.5,4.0,4.5,4.0,0.1073755299040208,0.2416841844936317,0.525925925925926,41
20620,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Verify customer credit ratings.,1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025-01-21,Expert,5,1,1,1,1,True,False,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False,,FALSE,Male,White,86K-165K,60,Bachelor’s Degree,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Monthly,Never,Weekly,Never,Never,Never,Never,Daily,Prolific,Supplemental,3.0,3.0,3.58,54.77,114520.0,293930.0,['Processing Information'],['4.A.2.a.2'],5.0,1.0,2.5,2.0,1.0,1.0,0.1073755299040208,0.2416841844936317,0.4814814814814815,41
18859,13-1071.00,Human Resources Specialists,Hire employees and process hiring-related paperwork.,db5513b8-b965-4d60-9d5b-48e5c18820b8,2025-02-25,Expert,1,1,2,5,3,False,False,False,False,False,False,4,5,4,4,4,True,True,True,True,True,False,False,FALSE,,Female,White,60-86K,35,Master’s Degree,1-2 year,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Independent,I have heard of them but don't know much about their functionalities.,"No, I have not used them for any work-related activities.",No,No,No,No,No,No,No,No,No,Prolific,Core,3.0,3.0,4.5,84.67,79730.0,917460.0,['Staffing Organizational Units'],['4.A.4.c.2'],2.75,2.5,2.75,3.0,4.5,3.0,0.3362316712851664,0.1341350315320885,0.8222222222222221,13
20284,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Compose, type, and distribute meeting notes, routine correspondence, or reports, such as presentations or expense, statistical, or monthly reports.",16f45488-9af7-4bfa-8bb8-524f52e03435,2025-02-25,Average,3,2,3,4,3,True,False,False,False,False,False,5,2,3,4,5,True,False,False,False,False,False,False,,,Female,Black,30-60K,57,"Some College, No Degree",3-5 years,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Never,Never,Never,Never,Never,Never,Never,Never,Prolific,Core,4.0,4.0,3.83,83.49,47640.0,1737820.0,"['Documenting/Recording Information', 'Performing Administrative Activities', 'Monitoring and Controlling Resources']","['4.A.3.b.6', '4.A.4.c.1', '4.A.4.c.3']",2.0,2.333333333333333,3.0,2.6666666666666665,3.333333333333333,3.333333333333333,0.6373309353838249,0.0349326078892048,0.5740740740740741,43
2805,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Conduct searches to find needed information, using such sources as the Internet.",16f45488-9af7-4bfa-8bb8-524f52e03435,2025-02-25,Average,3,2,3,4,5,False,False,True,False,False,False,1,1,1,2,2,False,False,False,False,False,False,False,,FALSE,Female,Black,30-60K,57,"Some College, No Degree",3-5 years,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Never,Never,Never,Never,Never,Never,Never,Never,Prolific,Core,5.0,5.0,3.68,94.04,47640.0,1737820.0,['Getting Information'],['4.A.1.a.1'],3.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,1.6666666666666667,2.333333333333333,0.6373309353838249,0.0349326078892048,0.5185185185185185,43
2794,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Open, read, route, and distribute incoming mail or other materials and answer routine letters.",16f45488-9af7-4bfa-8bb8-524f52e03435,2025-02-25,Expert,5,1,5,4,3,True,False,False,False,False,False,5,1,1,1,1,False,False,False,False,False,False,False,,FALSE,Female,Black,30-60K,57,"Some College, No Degree",3-5 years,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Never,Never,Never,Never,Never,Never,Never,Never,Prolific,Core,5.0,5.0,3.67,81.43,47640.0,1737820.0,"['Performing Administrative Activities', 'Monitoring and Controlling Resources']","['4.A.4.c.1', '4.A.4.c.3']",4.5,1.5,1.5,2.0,2.0,1.5,0.6373309353838249,0.0349326078892048,0.5148148148148147,43
15583,11-9121.01,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",dc151eda-cd36-4aa0-be0d-4e9de0ab3cb9,2025-02-25,Average,1,1,4,3,3,False,False,False,False,False,False,2,2,1,3,3,False,False,True,False,True,True,False,FALSE,,Female,White,60-86K,37,Bachelor’s Degree,More than 10 years,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Weekly,Monthly,Weekly,Never,Never,Never,Prolific,Core,3.0,3.0,3.48,84.9,77960.0,73180.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],2.25,2.75,2.5,4.5,3.25,3.25,0.0263529757207612,0.1286632867565228,0.4444444444444443,11
18940,13-2071.00,Credit Counselors,"Maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.",0b466480-1875-4e35-971f-7ad7ecdae8eb,2025-02-25,Expert,2,1,2,1,3,False,False,False,False,False,False,1,4,4,4,4,False,True,True,True,True,True,True,FALSE,,Female,White,60-86K,66,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Never,Never,Weekly,Daily,Never,Never,Never,Weekly,Prolific,Core,7.0,7.0,4.42,96.0,55890.0,28110.0,['Documenting/Recording Information'],['4.A.3.b.6'],5.0,1.0,1.0,1.0,1.5,1.0,0.009810794443119,0.0604365030295536,0.7925925925925924,13
15612,11-9121.01,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",494624da-6ebf-43d4-a843-9114931430ed,2025-02-25,Expert,5,1,1,5,3,True,True,True,False,False,True,1,4,1,2,2,False,False,False,False,False,False,False,it would allow me to focus on actual patient care. I would love to have epic that has developed the MY chart computer charting system incorpate a AI to do dicatation to the chart so that instead of typing I could talk to it to chart while actually actively doing the care on the patient and have more time for the much needed patients because in the hospitals most are under staffed and nurse are caring for more patients than they should so often when I was in the hospital setting I would get stuck after my shift at work charting for hours ,FALSE,Female,White,Prefer not to say,50,Master’s Degree,More than 10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Weekly,Daily,Weekly,Daily,Never,Daily,Daily,Prolific,Core,4.0,4.0,4.49,84.74,77960.0,73180.0,['Scheduling Work and Activities'],['4.A.2.b.5'],1.5,3.0,3.0,3.0,2.5,2.0,0.0263529757207612,0.1286632867565228,0.8185185185185185,11
15594,11-9121.01,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,494624da-6ebf-43d4-a843-9114931430ed,2025-02-25,Expert,3,1,5,1,2,True,False,True,True,True,True,3,4,4,5,5,False,True,True,True,True,True,True,,legal concerns if not documented correctly and some situations are extremely random and not normal things so hard to intially put a dual legal ai and medical AI together to just do this alone but they would be of excellent value and reference to the nurses and doctors that have to make these reports,Female,White,Prefer not to say,50,Master’s Degree,More than 10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Weekly,Daily,Weekly,Daily,Never,Daily,Daily,Prolific,Core,4.0,4.0,4.35,89.64,77960.0,73180.0,"['Documenting/Recording Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.3.b.6', '4.A.4.a.2']",2.6666666666666665,2.6666666666666665,3.333333333333333,4.333333333333333,2.6666666666666665,4.0,0.0263529757207612,0.1286632867565228,0.7666666666666665,11
15607,11-9121.01,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,494624da-6ebf-43d4-a843-9114931430ed,2025-02-25,Average,3,1,5,1,2,True,True,True,False,False,True,2,5,3,5,4,False,False,True,True,True,True,True,,,Female,White,Prefer not to say,50,Master’s Degree,More than 10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Weekly,Daily,Weekly,Daily,Never,Daily,Daily,Prolific,Core,4.0,4.0,3.62,78.48,77960.0,73180.0,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],2.0,3.0,2.6666666666666665,4.333333333333333,3.0,3.6666666666666665,0.0263529757207612,0.1286632867565228,0.4962962962962963,11
15583,11-9121.01,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",494624da-6ebf-43d4-a843-9114931430ed,2025-02-25,Average,4,1,5,1,1,True,False,True,True,False,True,3,4,2,5,5,True,True,True,True,True,True,True,,the education is for the nurse and if the AI does the work and learning the nurse doesn't learn and so it would be a team effort,Female,White,Prefer not to say,50,Master’s Degree,More than 10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Weekly,Daily,Weekly,Daily,Never,Daily,Daily,Prolific,Core,3.0,3.0,3.48,84.9,77960.0,73180.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],2.25,2.75,2.5,4.5,3.25,3.25,0.0263529757207612,0.1286632867565228,0.4444444444444443,11
23313,43-9041.00,Insurance Claims and Policy Processing Clerks,"Prepare insurance claim forms or related documents, and review them for completeness.",a298e4c0-1fb5-470c-afe0-c0f34ea9798e,2025-02-25,Average,3,4,3,1,4,True,False,True,True,False,False,4,2,3,3,4,True,False,False,True,True,False,True,,,Male,White,30-60K,30,Master’s Degree,3-5 years,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Weekly,Daily,Weekly,Weekly,Daily,Daily,Prolific,Core,7.0,7.0,4.75,85.32,51980.0,229070.0,"['Processing Information', 'Documenting/Recording Information']","['4.A.2.a.2', '4.A.3.b.6']",4.0,1.0,2.0,2.5,2.5,2.0,0.0835697638142078,0.0483492024236428,0.9148148148148146,43
23334,43-9041.00,Insurance Claims and Policy Processing Clerks,"Compose business correspondence for supervisors, managers, and professionals.",a298e4c0-1fb5-470c-afe0-c0f34ea9798e,2025-02-25,Average,4,4,2,3,2,True,False,True,True,False,False,4,2,3,2,4,True,False,True,True,False,False,False,,,Male,White,30-60K,30,Master’s Degree,3-5 years,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Weekly,Daily,Weekly,Weekly,Daily,Daily,Prolific,Supplemental,5.0,5.0,3.69,64.34,51980.0,229070.0,['Performing Administrative Activities'],['4.A.4.c.1'],3.5,1.0,1.5,2.5,2.0,2.0,0.0835697638142078,0.0483492024236428,0.5222222222222223,43
20608,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Prepare and submit sales contracts for orders.,1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025-01-21,Expert,5,1,1,3,1,True,False,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False,,FALSE,Male,White,86K-165K,60,Bachelor’s Degree,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Monthly,Never,Weekly,Never,Never,Never,Never,Daily,Prolific,Core,5.0,5.0,4.24,74.63,114520.0,293930.0,"['Documenting/Recording Information', 'Performing Administrative Activities']","['4.A.3.b.6', '4.A.4.c.1']",4.5,2.0,1.5,2.0,2.0,2.0,0.1073755299040208,0.2416841844936317,0.725925925925926,41
11237,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Answer customers' questions about products, prices, availability, or credit terms.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025-01-21,Expert,1,1,2,1,4,False,False,False,False,False,False,1,5,1,5,2,False,False,False,False,False,False,False,FALSE,FALSE,Male,White,86K-165K,60,Bachelor’s Degree,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Monthly,Never,Weekly,Never,Never,Never,Never,Daily,Prolific,Core,5.0,5.0,4.15,95.01,114520.0,293930.0,['Performing for or Working Directly with the Public'],['4.A.4.a.8'],4.5,1.0,1.0,1.5,2.0,1.5,0.1073755299040208,0.2416841844936317,0.6925925925925925,41
